"Time","UnderlyingAtBuy","UnderlyingCurrent","UnderlyingChg","UnderlyingChgPct","position1PL","position1PLAmt","position1PLPct","position2PL","position2PLAmt","position2PLPct","PL"
"09:55:00",13713.5,13713.5,0,"0.00",0,"0.00","0.00",0,"0.00","0.00","0.00"
"09:56:00",13713.5,13712.4,1,"0.01",-0.44999999999998863,"-22.50","-0.50",-0.04999999999999716,"-2.50","-0.05","-25.00"
"09:57:00",13713.5,13702.8,11,"0.08",2.1500000000000057,"107.50","2.47",-2.25,"-112.50","-2.30","-5.00"
"09:58:00",13713.5,13719.7,-6,"-0.04",-1.9499999999999886,"-97.50","-2.14",2,"100.00","2.14","2.50"
"09:59:00",13713.5,13720,-7,"-0.05",-2.3999999999999915,"-120.00","-2.62",1.2000000000000028,"60.00","1.27","-60.00"
"10:00:00",13713.5,13727,-14,"-0.10",-4.3999999999999915,"-220.00","-4.70",4,"200.00","4.37","-20.00"
"10:01:00",13713.5,13727.1,-14,"-0.10",-3.25,"-162.50","-3.52",4.549999999999997,"227.50","5.00","65.00"
"10:02:00",13713.5,13721,-8,"-0.06",-2.3999999999999915,"-120.00","-2.62",2.8499999999999943,"142.50","3.07","22.50"
"10:03:00",13713.5,13718.9,-5,"-0.04",-1.2999999999999972,"-65.00","-1.44",2.299999999999997,"115.00","2.47","50.00"
"10:04:00",13713.5,13731.5,-18,"-0.13",-3.8499999999999943,"-192.50","-4.14",5.549999999999997,"277.50","6.17","85.00"
"10:05:00",13713.5,13735.6,-22,"-0.16",-5.3999999999999915,"-270.00","-5.71",7.8999999999999915,"395.00","9.01","125.00"
"10:06:00",13713.5,13737.8,-24,"-0.18",-4.6499999999999915,"-232.50","-4.96",7.549999999999997,"377.50","8.58","145.00"
"10:07:00",13713.5,13738.1,-25,"-0.18",-3.6999999999999886,"-185.00","-3.98",6.8999999999999915,"345.00","7.78","160.00"
"10:08:00",13713.5,13742.4,-29,"-0.21",-6.3999999999999915,"-320.00","-6.70",8.849999999999994,"442.50","10.21","122.50"
"10:09:00",13713.5,13754.7,-41,"-0.30",-9.599999999999994,"-480.00","-9.72",12.049999999999997,"602.50","14.43","122.50"
"10:10:00",13713.5,13752.6,-39,"-0.28",-8.549999999999997,"-427.50","-8.75",10.049999999999997,"502.50","11.75","75.00"
"10:11:00",13713.5,13749.8,-36,"-0.26",-8.649999999999991,"-432.50","-8.84",11.25,"562.50","13.35","130.00"
"10:12:00",13713.5,13747.9,-34,"-0.25",-7.75,"-387.50","-8.00",12,"600.00","14.36","212.50"
"10:13:00",13713.5,13744,-31,"-0.23",-5.349999999999994,"-267.50","-5.66",8.849999999999994,"442.50","10.21","175.00"
"10:14:00",13713.5,13741.5,-28,"-0.20",-4.549999999999997,"-227.50","-4.86",7.299999999999997,"365.00","8.27","137.50"
"10:15:00",13713.5,13747.3,-34,"-0.25",-7.8999999999999915,"-395.00","-8.14",9.75,"487.50","11.36","92.50"
"10:16:00",13713.5,13753.9,-40,"-0.29",-8.849999999999994,"-442.50","-9.03",11.599999999999994,"580.00","13.82","137.50"
"10:17:00",13713.5,13747.5,-34,"-0.25",-7.25,"-362.50","-7.52",9.799999999999997,"490.00","11.43","127.50"
"10:18:00",13713.5,13752.5,-39,"-0.28",-8.349999999999994,"-417.50","-8.56",10.399999999999991,"520.00","12.21","102.50"
"10:19:00",13713.5,13745.4,-32,"-0.23",-6.5,"-325.00","-6.80",8.349999999999994,"417.50","9.58","92.50"
"10:20:00",13713.5,13746,-33,"-0.24",-6,"-300.00","-6.31",8.049999999999997,"402.50","9.20","102.50"
"10:21:00",13713.5,13735.5,-22,"-0.16",-2.3499999999999943,"-117.50","-2.57",5.75,"287.50","6.40","170.00"
"10:22:00",13713.5,13742.7,-29,"-0.21",-4.8999999999999915,"-245.00","-5.21",7.950000000000003,"397.50","9.08","152.50"
"10:23:00",13713.5,13746.4,-33,"-0.24",-6.849999999999994,"-342.50","-7.14",9.799999999999997,"490.00","11.43","147.50"
"10:24:00",13713.5,13750.4,-37,"-0.27",-6.699999999999989,"-335.00","-6.99",9.899999999999991,"495.00","11.56","160.00"
"10:25:00",13713.5,13747.9,-34,"-0.25",-6.849999999999994,"-342.50","-7.14",11.149999999999991,"557.50","13.21","215.00"
"10:26:00",13713.5,13747,-34,"-0.25",-5.849999999999994,"-292.50","-6.16",10.649999999999991,"532.50","12.54","240.00"
"10:27:00",13713.5,13754.8,-41,"-0.30",-8.649999999999991,"-432.50","-8.84",13.200000000000003,"660.00","16.03","227.50"
"10:28:00",13713.5,13755.7,-42,"-0.31",-7.599999999999994,"-380.00","-7.86",14,"700.00","17.17","320.00"
"10:29:00",13713.5,13740.5,-27,"-0.20",-3.0999999999999943,"-155.00","-3.36",9.950000000000003,"497.50","11.62","342.50"
"10:30:00",13713.5,13730.4,-17,"-0.12",0.6000000000000085,"30.00","0.68",7.3999999999999915,"370.00","8.39","400.00"
"10:31:00",13713.5,13724.2,-11,"-0.08",0.45000000000000284,"22.50","0.51",5.3999999999999915,"270.00","5.99","292.50"
"10:32:00",13713.5,13740.7,-27,"-0.20",-4.949999999999989,"-247.50","-5.26",10.200000000000003,"510.00","11.95","262.50"
"10:33:00",13713.5,13741.1,-28,"-0.20",-5.5,"-275.00","-5.81",10,"500.00","11.69","225.00"
"10:34:00",13713.5,13734.5,-21,"-0.15",-4.549999999999997,"-227.50","-4.86",8.049999999999997,"402.50","9.20","175.00"
"10:35:00",13713.5,13739.3,-26,"-0.19",-5.75,"-287.50","-6.06",9.549999999999997,"477.50","11.10","190.00"
"10:36:00",13713.5,13741.1,-28,"-0.20",-6.3999999999999915,"-320.00","-6.70",10.049999999999997,"502.50","11.75","182.50"
"10:37:00",13713.5,13742.2,-29,"-0.21",-5.449999999999989,"-272.50","-5.76",9.849999999999994,"492.50","11.49","220.00"
"10:38:00",13713.5,13737.5,-24,"-0.18",-5.099999999999994,"-255.00","-5.41",9.149999999999991,"457.50","10.59","202.50"
"10:39:00",13713.5,13743,-30,"-0.22",-6,"-300.00","-6.31",10.75,"537.50","12.68","237.50"
"10:40:00",13713.5,13746.4,-33,"-0.24",-6.449999999999989,"-322.50","-6.75",11.899999999999991,"595.00","14.23","272.50"
"10:41:00",13713.5,13763,-50,"-0.36",-11.199999999999989,"-560.00","-11.16",16.64999999999999,"832.50","21.10","272.50"
"10:42:00",13713.5,13758.4,-45,"-0.33",-9.549999999999997,"-477.50","-9.68",14.149999999999991,"707.50","17.38","230.00"
"10:43:00",13713.5,13767.3,-54,"-0.39",-11.849999999999994,"-592.50","-11.73",16.450000000000003,"822.50","20.80","230.00"
"10:44:00",13713.5,13762.4,-49,"-0.36",-10.399999999999991,"-520.00","-10.45",15.149999999999991,"757.50","18.84","237.50"
"10:45:00",13713.5,13772.5,-59,"-0.43",-13.099999999999994,"-655.00","-12.81",17.39999999999999,"870.00","22.26","215.00"
"10:46:00",13713.5,13769.1,-56,"-0.41",-12.349999999999994,"-617.50","-12.17",16.950000000000003,"847.50","21.56","230.00"
"10:47:00",13713.5,13769.8,-56,"-0.41",-12.149999999999991,"-607.50","-11.99",16.200000000000003,"810.00","20.42","202.50"
"10:48:00",13713.5,13770.5,-57,"-0.42",-11.949999999999989,"-597.50","-11.82",14.700000000000003,"735.00","18.18","137.50"
"10:49:00",13713.5,13772.5,-59,"-0.43",-13.949999999999989,"-697.50","-13.53",17.14999999999999,"857.50","21.87","160.00"
"10:50:00",13713.5,13763.3,-50,"-0.36",-11.549999999999997,"-577.50","-11.47",14.450000000000003,"722.50","17.82","145.00"
"10:51:00",13713.5,13769.1,-56,"-0.41",-13.049999999999997,"-652.50","-12.77",16.299999999999997,"815.00","20.57","162.50"
"10:52:00",13713.5,13766.1,-53,"-0.39",-11.149999999999991,"-557.50","-11.12",14,"700.00","17.17","142.50"
"10:53:00",13713.5,13771.4,-58,"-0.42",-13.75,"-687.50","-13.36",16.25,"812.50","20.49","125.00"
"10:54:00",13713.5,13764.1,-51,"-0.37",-11.649999999999991,"-582.50","-11.56",14.899999999999991,"745.00","18.47","162.50"
"10:55:00",13713.5,13767.3,-54,"-0.39",-11.949999999999989,"-597.50","-11.82",16.049999999999997,"802.50","20.19","205.00"
"10:56:00",13713.5,13781.5,-68,"-0.50",-15.599999999999994,"-780.00","-14.89",21.200000000000003,"1060.00","28.51","280.00"
