"Time","UnderlyingAtBuy","UnderlyingCurrent","UnderlyingChg","UnderlyingChgPct","position1PL","position1PLAmt","position1PLPct","position2PL","position2PLAmt","position2PLPct","PL"
"09:55:00",14870.2,14870.2,0,"0.00",0,"0.00","0.00",0,"0.00","0.00","0.00"
"09:56:00",14870.2,14867,3,"0.02",0,"0.00","0.00",-0.3999999999999915,"-20.00","-0.47","-20.00"
"09:57:00",14870.2,14866,4,"0.03",-0.19999999999999574,"-10.00","-0.37",-1.0499999999999972,"-52.50","-1.22","-62.50"
"09:58:00",14870.2,14868.3,2,"0.01",-0.04999999999999716,"-2.50","-0.09",-0.45000000000000284,"-22.50","-0.53","-25.00"
"09:59:00",14870.2,14874.4,-4,"-0.03",-1.2999999999999972,"-65.00","-2.37",2.5,"125.00","3.04","60.00"
"10:00:00",14870.2,14879.5,-9,"-0.06",-0.8999999999999986,"-45.00","-1.66",4.200000000000003,"210.00","5.22","165.00"
"10:01:00",14870.2,14865.2,5,"0.03",0.8500000000000014,"42.50","1.62",-1.1499999999999915,"-57.50","-1.34","-15.00"
"10:02:00",14870.2,14873.5,-3,"-0.02",0.25,"12.50","0.47",1.9500000000000028,"97.50","2.36","110.00"
"10:03:00",14870.2,14871.5,-1,"-0.01",0.8000000000000043,"40.00","1.52",1,"50.00","1.19","90.00"
"10:04:00",14870.2,14871,-1,"-0.01",1.1000000000000014,"55.00","2.10",1.25,"62.50","1.50","117.50"
"10:05:00",14870.2,14866.1,4,"0.03",2.0500000000000043,"102.50","3.99",-0.7000000000000028,"-35.00","-0.82","67.50"
"10:06:00",14870.2,14873.6,-3,"-0.02",0.6000000000000014,"30.00","1.14",3.3500000000000085,"167.50","4.12","197.50"
"10:07:00",14870.2,14875.8,-5,"-0.03",0.6000000000000014,"30.00","1.14",2.75,"137.50","3.36","167.50"
"10:08:00",14870.2,14866.5,4,"0.03",2.3000000000000043,"115.00","4.50",2,"100.00","2.42","215.00"
"10:09:00",14870.2,14867.7,3,"0.02",2.450000000000003,"122.50","4.80",2.299999999999997,"115.00","2.79","237.50"
