"Time","UnderlyingAtBuy","UnderlyingCurrent","UnderlyingChange","UnderlyingChgPct","CallPL","CallPLAmount","CallPLPercentage","PutPL","PutPLAmount","PutPLPercentage","PL"
"09:55:00",13713.5,13713.5,0,"0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"09:56:00",13713.5,13712.4,1.1000000000003638,"0.01","-0.45","-22.50","-0.50","-0.05","-2.50","-0.05","-25.00"
"09:57:00",13713.5,13702.8,10.700000000000728,"0.08","2.15","107.50","2.41","-2.25","-112.50","-2.37","-5.00"
"09:58:00",13713.5,13719.7,-6.200000000000728,"-0.05","-1.95","-97.50","-2.19","2.00","100.00","2.11","2.50"
"09:59:00",13713.5,13720,-6.5,"-0.05","-2.40","-120.00","-2.69","1.20","60.00","1.26","-60.00"
"10:00:00",13713.5,13727,-13.5,"-0.10","-4.40","-220.00","-4.94","4.00","200.00","4.21","-20.00"
"10:01:00",13713.5,13727.1,-13.600000000000364,"-0.10","-3.25","-162.50","-3.65","4.55","227.50","4.79","65.00"
"10:02:00",13713.5,13721,-7.5,"-0.05","-2.40","-120.00","-2.69","2.85","142.50","3.00","22.50"
"10:03:00",13713.5,13718.9,-5.399999999999636,"-0.04","-1.30","-65.00","-1.46","2.30","115.00","2.42","50.00"
"10:04:00",13713.5,13731.5,-18,"-0.13","-3.85","-192.50","-4.32","5.55","277.50","5.84","85.00"
"10:05:00",13713.5,13735.6,-22.100000000000364,"-0.16","-5.40","-270.00","-6.06","7.90","395.00","8.32","125.00"
"10:06:00",13713.5,13737.8,-24.299999999999272,"-0.18","-4.65","-232.50","-5.22","7.55","377.50","7.95","145.00"
"10:07:00",13713.5,13738.1,-24.600000000000364,"-0.18","-3.70","-185.00","-4.15","6.90","345.00","7.26","160.00"
"10:08:00",13713.5,13742.4,-28.899999999999636,"-0.21","-6.40","-320.00","-7.18","8.85","442.50","9.32","122.50"
"10:09:00",13713.5,13754.7,-41.20000000000073,"-0.30","-9.60","-480.00","-10.77","12.05","602.50","12.68","122.50"
"10:10:00",13713.5,13752.6,-39.100000000000364,"-0.29","-8.55","-427.50","-9.59","10.05","502.50","10.58","75.00"
"10:11:00",13713.5,13749.8,-36.29999999999927,"-0.26","-8.65","-432.50","-9.70","11.25","562.50","11.84","130.00"
"10:12:00",13713.5,13747.9,-34.399999999999636,"-0.25","-7.75","-387.50","-8.69","12.00","600.00","12.63","212.50"
"10:13:00",13713.5,13744,-30.5,"-0.22","-5.35","-267.50","-6.00","8.85","442.50","9.32","175.00"
"10:14:00",13713.5,13741.5,-28,"-0.20","-4.55","-227.50","-5.10","7.30","365.00","7.68","137.50"
"10:15:00",13713.5,13747.3,-33.79999999999927,"-0.25","-7.90","-395.00","-8.86","9.75","487.50","10.26","92.50"
"10:16:00",13713.5,13753.9,-40.399999999999636,"-0.29","-8.85","-442.50","-9.93","11.60","580.00","12.21","137.50"
"10:17:00",13713.5,13747.5,-34,"-0.25","-7.25","-362.50","-8.13","9.80","490.00","10.32","127.50"
"10:18:00",13713.5,13752.5,-39,"-0.28","-8.35","-417.50","-9.37","10.40","520.00","10.95","102.50"
"10:19:00",13713.5,13745.4,-31.899999999999636,"-0.23","-6.50","-325.00","-7.29","8.35","417.50","8.79","92.50"
"10:20:00",13713.5,13746,-32.5,"-0.24","-6.00","-300.00","-6.73","8.05","402.50","8.47","102.50"
"10:21:00",13713.5,13735.5,-22,"-0.16","-2.35","-117.50","-2.64","5.75","287.50","6.05","170.00"
"10:22:00",13713.5,13742.7,-29.200000000000728,"-0.21","-4.90","-245.00","-5.50","7.95","397.50","8.37","152.50"
"10:23:00",13713.5,13746.4,-32.899999999999636,"-0.24","-6.85","-342.50","-7.68","9.80","490.00","10.32","147.50"
"10:24:00",13713.5,13750.4,-36.899999999999636,"-0.27","-6.70","-335.00","-7.52","9.90","495.00","10.42","160.00"
"10:25:00",13713.5,13747.9,-34.399999999999636,"-0.25","-6.85","-342.50","-7.68","11.15","557.50","11.74","215.00"
"10:26:00",13713.5,13747,-33.5,"-0.24","-5.85","-292.50","-6.56","10.65","532.50","11.21","240.00"
"10:27:00",13713.5,13754.8,-41.29999999999927,"-0.30","-8.65","-432.50","-9.70","13.20","660.00","13.89","227.50"
"10:28:00",13713.5,13755.7,-42.20000000000073,"-0.31","-7.60","-380.00","-8.52","14.00","700.00","14.74","320.00"
"10:29:00",13713.5,13740.5,-27,"-0.20","-3.10","-155.00","-3.48","9.95","497.50","10.47","342.50"
"10:30:00",13713.5,13730.4,-16.899999999999636,"-0.12","0.60","30.00","0.67","7.40","370.00","7.79","400.00"
"10:31:00",13713.5,13724.2,-10.700000000000728,"-0.08","0.45","22.50","0.50","5.40","270.00","5.68","292.50"
